,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
156,322,GSFI11,0.0007,0.0276,0.0092,0.0276,0.0046,0.0276,0.0023,0.0276,0.0,0.0276,0.0276,2.51,0.0276,2020.0,0.0058,11.9008,0.0111,814995674.03,0.017,0.017,,,,,,,Shoppings,shoppings,7.85,352496.25,1179162640.93,0.5396,0.6596195213767141,GSFI11,9,15.281917965879,8367,,,
157,131,GTLG11,60.6178,,,,,,,,,,,,,,99.9964,60.62,-35.8315,434811690.7,35.2242,28.3347,134.9748,44.9916,137.2568,22.8761,141.7348,11.8112,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,63.99,22885.25,434811690.7,1.0556,1.055592213790828,GTLG11,5,53.864013784818,341,,,
158,454,GTWR11,0.79,0.92,0.91,2.73,0.935,5.61,0.9567,11.48,-2.4105,7.1753,-1.5126,85.83,2.73,2024.0,0.781,101.15,6.811,1213747348.5,13.3234,7.6452,2.3438,0.7813,4.8353,0.8059,9.8248,0.8187,Lajes Corporativas,lajes-corporativas,84.3,1031276.05,1213747348.5,0.8358,0.833415719228867,GTWR11,3,13.538298176965,36193,,,
159,2788,GURB11,0.7,0.65,0.2167,0.65,0.1083,0.65,0.1233,1.48,0.0,,0.0,108.0,0.65,2024.0,,,,,,,,,,,,,Indefinido,indefinido,108.0,5000076,127312445.01,0.963,,GURB11,2,10.620799263727,1,,,
160,87,GZIT11,0.78,1.18,0.7533,2.26,0.7533,2.26,0.7533,2.26,-8.3194,-7.2376,-7.2376,66.01,2.26,2024.0,,,,,,,,,,,,,Indefinido,indefinido,65.56,849985.11,2094392988.12,0.6852,,GZIT11,6,11.069888258915,6881,,,
161,315,HAAA11,0.24,0.0,0.24,0.72,0.3917,2.35,0.445,5.34,0.0,,0.0,,0.72,2024.0,0.3004,79.89,-10.8967,276015208.49,-9.1867,-10.629,1.2253,0.4084,2.3035,0.3839,5.0669,0.4222,Lajes Corporativas,lajes-corporativas,42.81,1874.91,276015208.49,0.5427,0.535861809988734,HAAA11,2,38.461391653123,301,,,
162,162,HABT11,1.05,1.14,1.1067,3.32,1.1083,6.65,1.2092,14.51,1.766,8.1669,2.9261,92.2,3.32,2024.0,1.0269,97.38,-2.4053,791392528.01,15.4387,-1.4031,3.0173,1.0058,6.0928,1.0155,13.3707,1.1142,Papéis,papeis,94.15,1483321.38,791392528.01,0.965,0.9668309714520431,HABT11,0,12.627619956716,69893,,,
163,325,HBCR11,0.6318,0.53,0.5,1.5,0.415,2.49,0.3358,4.03,1.4894,2.5211,2.0273,119.25,1.5,2024.0,,,,,,,,,,,,,Indefinido,indefinido,119.25,6084179,136852214.36,1.0002,,HBCR11,4,20.574397463005,44,,,
164,360,HBRH11,0.5,0.0,0.42,1.26,0.44,2.64,0.5258,6.31,0.0,,0.0,,1.26,2024.0,0.4462,112.06,-1.0071,310663065.95,7.435,-0.5654,1.6215,0.5405,2.7688,0.4615,5.8387,0.4866,Lajes Corporativas,lajes-corporativas,90.8,14627,310663065.95,0.8103,0.810280207031947,HBRH11,5,13.976304501315,904,,,
165,331,HCHG11,0.75,0.93,0.9333,2.8,0.8083,4.85,0.9683,11.62,4.0339,6.4816,5.0014,80.98,2.8,2024.0,0.7937,99.53,-1.5724,119432690.03,14.5717,-0.7911,2.1737,0.7246,3.8723,0.6454,9.5843,0.7987,Papéis,papeis,78.98,29521.54,119432690.03,0.7435,0.793529589068622,HCHG11,0,29.671272314138,970,,,
